 5849 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 27 ; bva150979 ; 320 
 5850 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 12 ; СТРЕКОЗА ; 107 
 5851 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 2128508 ; 164 
 5852 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 25 ; smel ; 157 
 5853 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 10 ; nikfed ; 156 
 5854 ; Бона иностранная ;  ;  ;  ;  ; 31 ; nikfed ; 512 
 5855 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Hamlet ; 51 
 5856 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 9 ; я8844 ; 181 
 5857 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 5 ; я8844 ; 140 
 5858 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 54 ; Sky2 ; 430 
 5859 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 47 ; Monata ; 453 
 5860 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 35 ; Monata ; 440 
 5861 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 47 ; Sky2 ; 578 
 5862 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 33 ; Sky2 ; 349 
 5863 ; Бумага ценная Германия ;  ;  ;  ;  ; 18 ; Stanislavskiy-89 ; 401 
 5864 ; Бумага ценная Германия ;  ;  ;  ;  ; 20 ; Friday ; 398 
 5865 ; Бумага ценная Германия ;  ;  ;  ;  ; 16 ; Friday ; 398 
 5866 ; Бумага ценная Германия ;  ;  ;  ;  ; 23 ; Friday ; 398 
 5867 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 24 ; я8844 ; 408 
 5868 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ТРОЛ ; 212 
 5869 ; Бона иностранная  Дания ; 1921 ;  ;  ;  ; 7 ; pref ; 41 
