 5935 ; 50 марок. Германия ; 1971 ;  ;  ;  ; 28 ; S-har ; 700 
 5936 ; Бона иностранная Аргентина 500 песо ;  ;  ;  ; AU ; 37 ; Александр974 ; 61 
 5937 ; Бона иностранная Аргентина 1000 песо ;  ;  ;  ; AU ; 18 ; USS ; 57 
 5938 ; Бона иностранная Бразилия 5000 крузейро ;  ;  ;  ; AU ; 11 ; Росич8 ; 61 
 5939 ; Бона иностранная Бразилия 1000 крузейро ;  ;  ;  ; AU ; 12 ; Росич8 ; 65 
 5940 ; Бона иностранная Никарагуа 50 кордоб ;  ;  ;  ; AU ; 7 ; Росич8 ; 61 
 5941 ; Бона иностранная Харватия 5 динар ;  ;  ;  ; AU ; 3 ; Росич8 ; 16 
 5942 ; Бона иностранная Колумбия 1 песо ;  ;  ;  ; AU ; 11 ; Khab27 ; 79 
 5943 ; Бона иностранная Бирма 1 кьят ;  ;  ;  ; AU ; 10 ; ши-тцу ; 36 
 5944 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 11 ; Arlekino82 ; 87 
 5945 ; Бона иностранная Болгария 200 лева ;  ;  ;  ; AU ; 15 ; Arlekino82 ; 102 
 5946 ; Бона иностранная Венгрия 10000 пенго ;  ;  ;  ;  ; 11 ; Sky2 ; 67 
 5947 ; Бона иностранная Венгрия 100 пенго ;  ;  ;  ;  ; 11 ; Александр974 ; 53 
 5948 ; Бона иностранная Египет 25 пиастр ;  ;  ;  ;  ; 3 ; Росич8 ; 16 
 5949 ; Бона иностранная Египет 50 пиастр ;  ;  ;  ;  ; 3 ; Росич8 ; 16 
 5950 ; Бона иностранная Египет 50 пиастр ;  ;  ;  ;  ; 7 ; sparrow ; 16 
 5951 ; Бона иностранная Перу 50 интис ;  ;  ;  ;  ; 7 ; sparrow ; 16 
 5952 ; Бона иностранная Перу 5000 солей ;  ;  ;  ;  ; 7 ; sparrow ; 16 
 5953 ; Бона иностранная Перу 50000 солей ;  ;  ;  ;  ; 8 ; филипок ; 18 
