 5888 ; Бона иностранная Италия ;  ;  ;  ;  ; 19 ; semiramida ; 405 
 5889 ; Бона иностранная США ;  ;  ;  ;  ; 12 ; moss76 ; 306 
 5890 ; Бона иностранная Кипр ;  ;  ;  ;  ; 10 ; alesjane ; 91 
 5891 ; Бона иностранная Швеция ;  ;  ;  ;  ; 5 ; Марик ; 53 
 5892 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 58 ; alesjane ; 407 
 5893 ; Бона иностранная Вьетнам ;  ;  ;  ;  ; 11 ; трутень ; 141 
 5894 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 9 ; semiramida ; 202 
 5895 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 15 ; елец ; 133 
 5896 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 13 ; DIMA 57 ; 242 
 5897 ; Бона иностранная Монголия ;  ;  ;  ;  ; 14 ; alesjane ; 567 
 5898 ; Лот бон 3 шт. Монголия ;  ;  ;  ;  ; 17 ; alesjane ; 1134 
 5899 ; Бона иностранная Япония ;  ;  ;  ;  ; 28 ; Dmitry21 ; 669 
 5900 ; Бона иностранная Япония ;  ;  ;  ;  ; 32 ; kehha ; 197 
 5901 ; Бона иностранная Япония ;  ;  ;  ;  ; 36 ; Dmitry21 ; 232 
 5902 ; Бона иностранная Ирак ;  ;  ;  ; AU ; 24 ; alesjane ; 117 
 5903 ; Бона иностранная Ирак ;  ;  ;  ; AU ; 17 ; alesjane ; 111 
 5904 ; Бона иностранная Ирак ;  ;  ;  ; AU ; 24 ; zhora ; 175 
 5905 ; Бона иностранная Чехословакия ;  ;  ;  ;  ; 19 ; alesjane ; 340 
 5906 ; Лот бон 3 шт. Мексика ;  ;  ;  ;  ; 18 ; alesjane ; 928 
 5907 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 20 ; Monata ; 204 
 5908 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 17 ; doc2 ; 204 
 5909 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 20 ; flutter ; 204 
 5910 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 9 ; doc2 ; 204 
 5911 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 11 ; архыз ; 130 
 5912 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 25 ; архыз ; 115 
 5913 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 16 ; архыз ; 77 
 5914 ; Бона иностранная Ялонская оккупация ;  ;  ;  ;  ; 11 ; архыз ; 54 
 5915 ; Чек США ;  ;  ;  ;  ; 29 ; kehha ; 419 
 5916 ; Лот бон 5 шт. Португалия ;  ;  ;  ;  ; 51 ; 2128508 ; 1168 
 5917 ; Бона иностранная Франция ;  ;  ;  ;  ; 60 ; alesjane ; 396 
 5918 ; Бона иностранная Франция ;  ;  ;  ;  ; 32 ; alesjane ; 262 
 5919 ; Бона иностранная Польша ;  ;  ;  ;  ; 54 ; MDV ; 395 
 5920 ; Бона иностранная Боливия ;  ;  ;  ;  ; 24 ; Hamlet ; 69 
 5921 ; Бона иностранная Армения ;  ;  ;  ;  ; 44 ; dali ; 805 
 5922 ; Бона иностранная Австрия ;  ;  ;  ;  ; 19 ; alesjane ; 71 
 5923 ; Бона иностранная Эстония ;  ;  ;  ; AU ; 11 ; bagsy ; 30 
 5924 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 10 ; Hamlet ; 57 
 5925 ; Лот бон 2 шт. Латвия ;  ;  ;  ; AU ; 7 ; bagsy ; 44 
 5926 ; Бона иностранная Литва ;  ;  ;  ; AU ; 28 ; flutter ; 55 
 5927 ; Бона иностранная Литва ;  ;  ;  ; AU ; 64 ; alapabula ; 123 
 5928 ; Бона иностранная Литва ;  ;  ;  ; AU ; 24 ; veselkov ; 47 
 5929 ; Лот бон 3 шт. Беларусь ;  ;  ;  ; AU ; 18 ; Arlekino82 ; 67 
 5930 ; Бона иностранная Нагорный карабах ;  ;  ;  ; AU ; 41 ; tanmar86 ; 91 
 5931 ; Лот бон 3 шт. Югославия ;  ;  ;  ; AU ; 26 ; komod ; 132 
 5932 ; Лот бон иностранных Болгария, Индия, Куба, Афганистан, Иран, Индонезия, Лаос, Югославия, Польша, Австрия, Египет и другие - 158 шт., в альбоме ;  ;  ;  ;  ; 76 ; alesjane ; 8963 
 5838 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 28 ; vfuflfy49 ; 79 
 5839 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 24 ; Hamlet ; 114 
 5840 ; Бона иностранная Уганда ;  ;  ;  ;  ; 17 ; Моряк-собиратель ; 214 
 5841 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; alapabula ; 87 
 5842 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; Elephant ; 63 
 5843 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; smel ; 270 
 5844 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; smel ; 250 
 5845 ; Бона иностранная Германия ;  ;  ;  ;  ; 8 ; наташа2712 ; 215 
