 4852 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 1 ; asus ; 111 
 4853 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 30 ; asus ; 54 
 4854 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 19 ; asus ; 61 
 4855 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 8 ; никсер ; 114 
 4856 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 11 ; asus ; 64 
 4857 ; Бона иностранная. Германия. 2 шт ; 1944 ;  ;  ;  ; 50 ; 收集者 ; 257 
 4858 ; Бона иностранная. Германия. 5 шт ;  ;  ;  ;  ; 18 ; yuri.gruzdev ; 47 
 4859 ; Бона иностранная. Германия. 4 шт ;  ;  ;  ;  ; 28 ; asus ; 63 
 4860 ; Бона иностранная. Германия. 4 шт ;  ;  ;  ;  ; 28 ; asus ; 63 
 4861 ; Бона иностранная. Туркменистан ; 2009 ;  ;  ;  ; 41 ; Northman ; 126 
 4862 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 2 ; я8844 ; 29 
 4863 ; Бона иностранная. Китай ; 1999 ;  ;  ;  ; 65 ; asus ; 95 
 4802 ; Бона иностранная. Исландия ; 1957 ;  ;  ;  ; 36 ; dsp ; 357 
 4803 ; Бона иностранная. Фарерские острова ; 1949 ;  ;  ;  ; 35 ; andorf ; 446 
 4804 ; Бона иностранная. Дания ; 1921 ;  ;  ;  ; 29 ; Northman ; 203 
 4805 ; Бона иностранная. Дания ; 1972 ;  ;  ;  ; 28 ; andorf ; 459 
 4806 ; Бона иностранная. Дания ; 1936 ;  ;  ;  ; 27 ; Sonic ; 204 
 4807 ; Бона иностранная. Дания ; 1943 ;  ;  ;  ; 6 ; asus ; 33 
 4808 ; Бона иностранная. Германия ; 1915 ;  ;  ;  ; 46 ; никсер ; 164 
 4809 ; Бона иностранная. Германия ; 1906 ;  ;  ;  ; 25 ; никсер ; 101 
 4810 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 13 ; Gera_K ; 13 
 4811 ; Бона иностранная. Германия ; 1910 ;  ;  ;  ; 7 ; asus ; 108 
 4812 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 14 ; Gyron ; 41 
 4813 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 26 ; pref ; 30 
 4814 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 10 ; asus ; 39 
 4815 ; Бона иностранная. Германия ; 1908 ;  ;  ;  ; 19 ; никсер ; 144 
 4816 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 15 ; asus ; 36 
 4817 ; Бона иностранная. Германия ; 1919 ;  ;  ;  ; 1 ; asus ; 55 
 4818 ; Бона иностранная. Норвегия ; 1917 ;  ;  ;  ; 28 ; ИЮМов1 ; 174 
 4819 ; Бона иностранная. Германия. 2 шт ; 1914 ;  ;  ;  ; 15 ; никсер ; 114 
 4820 ; Бона иностранная. Германия. 2 шт ; 1922 ;  ;  ;  ; 6 ; 收集者 ; 48 
 4821 ; Бона иностранная. Эстония. 4 шт ; 1992, 1994, 2006 ;  ;  ;  ; 18 ; asus ; 102 
 4822 ; Бона иностранная. Этония ; 1992 ;  ;  ;  ; 21 ; sher60 ; 183 
 4823 ; Бона иностранная. Этония ; 2002 ;  ;  ;  ; 5 ; vladzory ; 184 
 4824 ; Бона иностранная. Этония ; 1994 ;  ;  ;  ; 20 ; Стрепет ; 579 
 4825 ; Бона иностранная. Этония ; 1991 ;  ;  ;  ; 28 ; vladzory ; 317 
 4826 ; Бона иностранная. Литва ; 1997 ;  ;  ;  ; 22 ; vladzory ; 237 
 4827 ; Бона иностранная. 3 шт ;  ;  ;  ;  ; 26 ; Gyron ; 53 
 4828 ; Бона иностранная. Германия. 3 шт ;  ;  ;  ;  ; 14 ; smel ; 90 
 4829 ; Бона иностранная. Перу, Чили. 2 шт. ; 2001, 2008 ;  ;  ;  ; 21 ; Northman ; 305 
 4830 ; Бона иностранная. Сингапур ;  ;  ;  ;  ; 29 ; Sky2 ; 327 
 4831 ; Бона иностранная. Бруней ; 1998 ;  ;  ;  ; 28 ; andorf ; 429 
 4832 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 收集者 ; 184 
 4833 ; Бона иностранная. Болгария. 7 шт ;  ;  ;  ;  ; 15 ; kaktus ; 402 
 4834 ; Бона иностранная. Германия ; 1902 ;  ;  ;  ; 4 ; pref ; 32 
 4835 ; Бона иностранная. Италия. 2 шт ;  ;  ;  ;  ; 7 ; andrry ; 54 
 4836 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 13 ; никсер ; 132 
 4837 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 23 ; Northman ; 200 
 4838 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 33 ; никсер ; 94 
 4839 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 23 ; бык ; 101 
 4840 ; Бона иностранная. Германия ; 1924 ;  ;  ;  ; 37 ; Northman ; 236 
 4841 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 35 ; Northman ; 226 
 4842 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 23 ; никсер ; 114 
 4843 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 15 ; asus ; 36 
 4844 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 33 ; Northman ; 216 
 4845 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 15 ; asus ; 40 
 4846 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 11 ; бык ; 30 
 4847 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 33 ; Northman ; 216 
 4848 ; Бона иностранная.  Германия ; 1922 ;  ;  ;  ; 2 ; asus ; 31 
 4849 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 19 ; asus ; 40 
 4850 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 21 ; бык ; 200 
 4851 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 5 ; asus ; 30 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Gyron ; 45 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ИЮМов1 ; 40 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 12 ; krugerrand ; 32 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 40 ; ъхз ; 40 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Опятор ; 31 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 11 ; krugerrand ; 31 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 29 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gyron ; 36 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 32 ; asus ; 51 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 19 ; andrry ; 42 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 13 ; asus ; 33 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 63 ; 收集者 ; 306 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 60 ; Стрепет ; 122 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ppi ; 30 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ppp ; 30 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 11 ; faihu ; 33 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 43 ; Woker ; 65 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ъхз ; 34 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 49 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Стрепет ; 30 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 15 ; andrry ; 50 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 19 ; andrry ; 73 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Опятор ; 35 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 55 ; vladimir-sirke ; 153 
