 5898 ; Бона иностранная Дания ;  ;  ;  ; AU ; 37 ; Khab27 ; 317 
 5899 ; Бона иностранная Испания ;  ;  ;  ; AU ; 18 ; vitab ; 158 
 5900 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 17 ; Khab27 ; 140 
 5901 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 30 ; Khab27 ; 130 
 5902 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 27 ; Росич8 ; 104 
 5903 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 37 ; karal ; 128 
 5904 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 24 ; Khab27 ; 114 
 5905 ; Бона иностранная Йемен ;  ;  ;  ; AU ; 11 ; Khab27 ; 71 
 5906 ; Бона иностранная Филипины ;  ;  ;  ; AU ; 18 ; Khab27 ; 128 
 5907 ; Бона иностранная Кения ;  ;  ;  ; AU ; 13 ; vi65 ; 148 
 5908 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 17 ; Росич8 ; 79 
 5909 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 5 ; TiBuL ; 59 
 5910 ; 2000000 злотых Польша ; 1992 ;  ;  ; AU ; 67 ; sos1 ; 2123 
 5911 ; 1000000 злотых Польша ; 1991 ;  ;  ; AU ; 34 ; sos1 ; 1438 
 5912 ; 500 злотых Польша ; 1982 ;  ;  ; AU ; 19 ; MDV ; 306 
 5913 ; 200 злотых Польша ; 1986 ;  ;  ; AU ; 31 ; MDV ; 306 
 5914 ; 100 злотых Польша ; 1976 ;  ;  ; AU ; 17 ; архыз ; 133 
 5915 ; 50 злотых Польша ; 1975 ;  ;  ; AU ; 19 ; архыз ; 175 
 5916 ; 20 злотых Польша ; 1982 ;  ;  ; AU ; 20 ; prostor.71 ; 92 
 5917 ; 10 злотых Польша ; 1982 ;  ;  ; AU ; 24 ; demodex ; 308 
 5918 ; Лот бон 2 шт. Финляндия ;  ;  ;  ;  ; 19 ; AndrCh58 ; 213 
 5919 ; Лот бон 2 шт. Австрия ;  ;  ;  ;  ; 33 ; alapabula ; 90 
 5920 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 31 ; Scorpionchic-sun ; 185 
 5921 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 60 ; елец ; 261 
 5922 ; Лот бон 9 шт. Австрия ;  ;  ;  ;  ; 68 ; Scorpionchic-sun ; 450 
 5923 ; Лот бон 3 шт. Франция ;  ;  ;  ;  ; 23 ; Khab27 ; 473 
 5924 ; Лот бон 5 шт. Испания ;  ;  ;  ;  ; 29 ; елец ; 353 
 5925 ; Лот бон 3 шт ;  ;  ;  ;  ; 38 ; stabah ; 240 
 5926 ; Лот бон 5 шт ;  ;  ;  ;  ; 46 ; spikerson ; 222 
 5927 ; Лот иностранных бон (18шт) ;  ;  ;  ;  ; 20 ; orlov2015 ; 341 
 5928 ; Бона иностранная ;  ;  ;  ;  ; 32 ; елец ; 305 
 5929 ; Бона иностранная ;  ;  ;  ;  ; 41 ; елец ; 67 
 5930 ; Бона иностранная ;  ;  ;  ;  ; 45 ; kont ; 578 
 5931 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Khab27 ; 284 
 5932 ; Лот бон 3 шт ;  ;  ;  ;  ; 24 ; Khab27 ; 367 
 5933 ; Лот бон 3 шт ;  ;  ;  ;  ; 21 ; Khab27 ; 306 
 5934 ; Лот бон 2 шт ;  ;  ;  ;  ; 21 ; Khab27 ; 243 
 5935 ; Бона иностранная ;  ;  ;  ;  ; 11 ; yuvg ; 255 
 5936 ; Лот бон 2 шт ;  ;  ;  ;  ; 22 ; Khab27 ; 212 
 5937 ; Лот бон 2 шт ;  ;  ;  ;  ; 11 ; bliznetz ; 83 
 5938 ; Лот бон 5 шт ;  ;  ;  ;  ; 31 ; Khab27 ; 189 
 5939 ; Лот бон 2 шт ;  ;  ;  ;  ; 28 ; Khab27 ; 155 
 5940 ; Лот бон 4 шт ;  ;  ;  ;  ; 53 ; Khab27 ; 637 
 5941 ; Лот бон 3 шт ;  ;  ;  ;  ; 28 ; елец ; 144 
 5942 ; Лот бон 100 рублей Белорусь, 100 штук в банковской упаковке ; 2000 ;  ;  ; AU ; 47 ; Балатово ; 330 
 5943 ; Лот бон 5 кун Хорватия, 100 штук в банковской упаковке ; 1991 ;  ;  ; AU ; 109 ; derk02 ; 1353 
 5944 ; Лот бон 1 талон Литва, 100 штук в банковской упаковке ;  ;  ;  ;  ; 67 ; derk02 ; 1105 
 5945 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 23 ; Scorpionchic-sun ; 417 
 5946 ; Лот нотгельдов 9 шт ;  ;  ;  ;  ; 55 ; Scorpionchic-sun ; 714 
 5947 ; Лот из 2-х банкнот и жетона Индия ;  ;  ;  ;  ; 26 ; елец ; 90 
 5848 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; von_Schwarz ; 357 
 5849 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; electra ; 359 
 5850 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; наташа2712 ; 123 
 5851 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; наташа2712 ; 132 
 5852 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; electra ; 130 
 5853 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; vladmarkin ; 135 
 5854 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; von_Schwarz ; 324 
 5855 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; adus ; 288 
 5856 ; Бона иностранная Германия ;  ;  ;  ;  ; 30 ; electra ; 143 
 5857 ; Бона иностранная Германия ;  ;  ;  ;  ; 32 ; electra ; 126 
 5858 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; наташа2712 ; 110 
 5859 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; smel ; 224 
 5860 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; наташа2712 ; 126 
 5861 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; Майкл ; 245 
 5862 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; von_Schwarz ; 240 
 5863 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; vladmarkin ; 137 
 5864 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; Майкл ; 580 
 5865 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; von_Schwarz ; 255 
 5866 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; smel ; 242 
 5867 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; von_Schwarz ; 276 
 5868 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; electra ; 90 
 5869 ; Бона иностранная Германия ;  ;  ;  ;  ; 32 ; alapabula ; 230 
 5870 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; electra ; 128 
 5871 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; electra ; 100 
 5872 ; Бона иностранная Германия ;  ;  ;  ;  ; 38 ; Scorpionchic-sun ; 209 
 5873 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; maymuse ; 117 
 5874 ; Бона иностранная Германия ;  ;  ;  ;  ; 35 ; кониевич ; 180 
 5875 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; Жигурда ; 220 
 5876 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; Майкл ; 178 
 5877 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; smel ; 210 
 5878 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; electra ; 215 
 5879 ; Бона иностранная Германия ;  ;  ;  ;  ; 37 ; vladmarkin ; 145 
 5880 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; electra ; 130 
 5881 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; electra ; 235 
 5882 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; smel ; 209 
 5883 ; Бона иностранная Германия ;  ;  ;  ;  ; 34 ; Майкл ; 745 
 5884 ; Бона иностранная Германия ;  ;  ;  ;  ; 27 ; Майкл ; 283 
 5885 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; smel ; 204 
 5886 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; trio ; 143 
 5887 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; electra ; 104 
 5888 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; vladmarkin ; 179 
 5889 ; Бумага ценная Германия ;  ;  ;  ;  ; 10 ; von_Schwarz ; 350 
 5890 ; 20 марок Германия ; 1948 ;  ;  ;  ; 21 ; k212 ; 1836 
 5891 ; 10 марок Германия ; 1948 ;  ;  ;  ; 27 ; derk02 ; 1145 
 5892 ; 25 лат Латвия ; 1938 ;  ;  ;  ; 23 ; flutter ; 315 
 5893 ; 10 лат Латвия ; 1937 ;  ;  ;  ; 21 ; alesjane ; 153 
 5894 ; 1 рубль Латвия ; 1919 ;  ;  ;  ; 13 ; kop ; 204 
 5895 ; Бона иностранная Фолклендские острова ;  ;  ;  ;  ; 106 ; alex1974 ; 1609 
 5896 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 138 ; alesjane ; 7764 
 5897 ; Бона иностранная Великобритания ;  ;  ;  ; AU ; 29 ; alesjane ; 322 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 43 ; стадник ; 217 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 43 ; стадник ; 459 
 5800 ; 20 марок Финляндия ; 1939 ;  ;  ;  ; 15 ; alesjane ; 416 
 5801 ; 10 марок Финляндия ; 1939 ;  ;  ;  ; 26 ; vasek ; 772 
 5802 ; 5 марок Финляндия ; 1939 ;  ;  ;  ; 26 ; tss ; 430 
 5803 ; 100 марок Финляндия ; 1957 ;  ;  ;  ; 24 ; tss ; 510 
 5804 ; 500 марок Финляндия ; 1956 ;  ;  ;  ; 55 ; dsp ; 2048 
 5805 ; Лот бон 1 и 5 марок Финляндия ; 1963 ;  ;  ; AU ; 12 ; flutter ; 204 
 5806 ; 50 марок Финляндия ; 1963 ;  ;  ;  ; 36 ; vasek ; 3318 
 5807 ; 100 марок Финляндия ; 1963 ;  ;  ;  ; 42 ; tss ; 3238 
 5808 ; 10 марок Финляндия ; 1963 ;  ;  ;  ; 23 ; gdrg2 ; 408 
 5809 ; 10 марок Финляндия ; 1980 ;  ;  ; AU ; 21 ; nikfed ; 609 
 5810 ; 10 марок Финляндия ; 1986 ;  ;  ; AU ; 36 ; flutter ; 374 
 5811 ; 20 марок Финляндия ; 1993 ;  ;  ; AU ; 18 ; tss ; 255 
