 5590 ; Акция. Германия ;  ;  ;  ;  ; 14 ; triha ; 200 
 5591 ; Акция. Германия ;  ;  ;  ;  ; 17 ; triha ; 200 
 5592 ; Акция. Германия ;  ;  ;  ;  ; 16 ; triha ; 200 
 5593 ; Акция. Германия ;  ;  ;  ;  ; 9 ; 54заза ; 79 
 5594 ; Бумага ценная США ;  ;  ;  ;  ; 13 ; Discover ; 306 
 5595 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 101 
 5596 ; Акция. США ;  ;  ;  ;  ; 5 ; SS007 ; 101 
 5597 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 101 
 5598 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 104 
 5599 ; Акция. США ;  ;  ;  ;  ; 5 ; SS007 ; 101 
 5600 ; Акция. США ;  ;  ;  ;  ; 5 ; SS007 ; 101 
 5601 ; Акция. США ;  ;  ;  ;  ; 5 ; SS007 ; 101 
 5602 ; Акция. США ;  ;  ;  ;  ; 5 ; SS007 ; 101 
 5603 ; Бумага ценная Дания ; 1954 ;  ;  ;  ; 9 ; 2128508 ; 79 
 5604 ; Бумага ценная Швеция ; 1941 ;  ;  ;  ; 8 ; 2128508 ; 101 
 5605 ; Бумага ценная Швеция ; 1929 ;  ;  ;  ; 10 ; цеховик ; 143 
 5606 ; Бумага ценная Швеция ; 1955 ;  ;  ;  ; 14 ; цеховик ; 100 
 5607 ; Бумага ценная Швеция ; 1950 ;  ;  ;  ; 10 ; vladmarkin ; 102 
 5608 ; Бумага ценная Швеция ; 1970 ;  ;  ;  ; 4 ; 2128508 ; 101 
 5609 ; Акция ; 1993 ;  ;  ;  ; 7 ; KinS ; 79 
 5610 ; Лот товарно-расчётных чеков 8 шт ; 1991 ;  ;  ;  ; 12 ; global182 ; 1689 
 5611 ; Лот чеков ( 5шт.) ;  ;  ;  ;  ; 13 ; alex241 ; 679 
 5612 ; Лот чеков ( 5шт.) ;  ;  ;  ;  ; 13 ; alex241 ; 680 
 5613 ; Бона. 100 рублей. Олимпиада в Сочи. Серия аа ; 2014 ;  ;  ;  ; 16 ; ShYrik_RUS ; 184 
 5614 ; Бона. 100 рублей. Олимпиада в Сочи. Серия Аа ; 2014 ;  ;  ;  ; 10 ; Декарт ; 189 
 5615 ; Бона. 100 рублей. Крым и Севастополь. Серия СК ; 2015 ;  ;  ;  ; 10 ; Avid ; 226 
 5616 ; Лот бон (2шт) ;  ;  ;  ;  ; 10 ; Mike! ; 255 
 5540 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 13 ; 6x6 ; 306 
 5541 ; Бона иностранная. Украина ;  ;  ;  ;  ; 26 ; ZIMOGOR ; 81 
 5542 ; Бона иностранная. Украина ;  ;  ;  ;  ; 37 ; Один54 ; 122 
 5543 ; Бона иностранная. Украина ;  ;  ;  ;  ; 45 ; bonipari ; 114 
 5544 ; Бона иностранная. Украина ;  ;  ;  ;  ; 33 ; vlad27 ; 79 
 5545 ; Бона иностранная. Украина ;  ;  ;  ;  ; 25 ; anna53 ; 63 
 5546 ; Бона иностранная. Украина ;  ;  ;  ;  ; 33 ; bonipari ; 147 
 5547 ; Бона иностранная. Украина ;  ;  ;  ;  ; 29 ; vlad27 ; 102 
 5548 ; Бона иностранная. Украина ;  ;  ;  ;  ; 10 ; трутень ; 101 
 5549 ; Бона иностранная. Украина ;  ;  ;  ;  ; 29 ; bonipari ; 147 
 5550 ; Бона иностранная. Украина ;  ;  ;  ;  ; 25 ; svv ; 177 
 5551 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 12 ; vlad27 ; 70 
 5552 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 6 ; 47154 ; 44 
 5553 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 11 ; artamonov81 ; 32 
 5554 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 16 ; 333985 ; 28 
 5555 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 20 ; 333985 ; 21 
 5556 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 29 ; Hamlet ; 30 
 5557 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 27 ; Hamlet ; 30 
 5558 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 8 ; sos1 ; 300 
 5559 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 14 ; smel ; 318 
 5560 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; bondars ; 288 
 5561 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 11 ; flutter ; 577 
 5562 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 28 ; smvvms ; 669 
 5563 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; maymuse ; 327 
 5564 ; Акция. Донецк ; 1910 ;  ;  ;  ; 7 ; Ustin ; 273 
 5565 ; Акция. Киев ; 1905 ;  ;  ;  ; 5 ; Ustin ; 255 
 5566 ; Акция. Египет ;  ;  ;  ;  ; 3 ; 333985 ; 99 
 5567 ; Акция. Египет ; 1905 ;  ;  ;  ; 7 ; 333985 ; 206 
 5568 ; Бумага ценная Швеция ; 1885 ;  ;  ;  ; 25 ; alesjane ; 407 
 5569 ; Бумага ценная Панама ; 1888 ;  ;  ;  ; 8 ; doc2 ; 228 
 5570 ; Акция ; 1944 ;  ;  ;  ; 3 ; 333985 ; 51 
 5571 ; Акция ; 1944 ;  ;  ;  ; 11 ; 333985 ; 79 
 5572 ; Акция ; 1921 ;  ;  ;  ; 5 ; цеховик ; 107 
 5573 ; Акция ; 1948 ;  ;  ;  ; 5 ; 333985 ; 69 
 5574 ; Акция ; 1896 ;  ;  ;  ; 5 ; 333985 ; 80 
 5575 ; Акция ; 1898 ;  ;  ;  ; 7 ; цеховик ; 114 
 5576 ; Акция ; 1912 ;  ;  ;  ; 3 ; von_Schwarz ; 101 
 5577 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 9 ; цеховик ; 143 
 5578 ; Бумага ценная Германия ; 1922 ;  ;  ;  ; 13 ; цеховик ; 143 
 5579 ; Бумага ценная Германия ; 1941 ;  ;  ;  ; 13 ; triha ; 147 
 5580 ; Бумага ценная Германия ; 1940 ;  ;  ;  ; 11 ; triha ; 150 
 5581 ; Бумага ценная Германия ; 1940 ;  ;  ;  ; 13 ; triha ; 159 
 5582 ; Бумага ценная Германия ; 1941 ;  ;  ;  ; 17 ; triha ; 181 
 5583 ; Бумага ценная Германия ;  ;  ;  ;  ; 10 ; цеховик ; 143 
 5584 ; Акция. Германия ;  ;  ;  ;  ; 7 ; von_Schwarz ; 101 
 5585 ; Акция. Германия ;  ;  ;  ;  ; 7 ; 54заза ; 99 
 5586 ; Акция. Германия ;  ;  ;  ;  ; 4 ; 54заза ; 53 
 5587 ; Акция. Германия ;  ;  ;  ;  ; 11 ; triha ; 117 
 5588 ; Акция. Германия ;  ;  ;  ;  ; 13 ; triha ; 147 
 5589 ; Акция. Германия ;  ;  ;  ;  ; 9 ; triha ; 147 
 5490 ; Бона иностранная. Польша ;  ;  ;  ;  ; 34 ; ZIMOGOR ; 261 
 5491 ; Бона иностранная. Польша ;  ;  ;  ;  ; 38 ; alesjane ; 257 
 5492 ; Бона иностранная. Польша ;  ;  ;  ;  ; 16 ; KinS ; 100 
 5493 ; Бона иностранная. Египет ;  ;  ;  ;  ; 5 ; artamonov81 ; 30 
 5494 ; Бона иностранная. Египет ;  ;  ;  ;  ; 5 ; 333985 ; 9 
 5495 ; Бона иностранная. Египет ;  ;  ;  ;  ; 1 ; 333985 ; 2 
 5496 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 12 ; vlad27 ; 70 
 5497 ; Бона иностранная. Перу ;  ;  ;  ;  ; 6 ; alesjane ; 50 
 5498 ; Бона иностранная. Перу ;  ;  ;  ;  ; 8 ; vlad27 ; 56 
 5499 ; Бона иностранная. Перу ;  ;  ;  ;  ; 4 ; 54заза ; 6 
 5500 ; Бона иностранная. Перу ;  ;  ;  ;  ; 29 ; marysuper ; 30 
 5501 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 3 ; зуммер ; 57 
 5502 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 8 ; chapa78 ; 80 
 5503 ; Бона иностранная. Гана ;  ;  ;  ;  ; 5 ; class ; 57 
 5504 ; Бона иностранная. Филиппины ;  ;  ;  ;  ; 15 ; Maxim914 ; 114 
 5505 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 25 ; митяй ; 88 
 5506 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 45 ; chapa78 ; 155 
 5507 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 6 ; artamonov81 ; 30 
 5508 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 12 ; KinS ; 30 
 5509 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 7 ; 2128508 ; 114 
