 6040 ; Бона иностранная Египет ;  ;  ;  ; AU ; 7 ; Ustin ; 51 
 6041 ; Лот 2 шт ;  ;  ;  ;  ; 46 ; Oleg_Pr ; 108 
 6042 ; Лот бон иностранных 8 шт ;  ;  ;  ;  ; 43 ; Хаа ; 274 
 5990 ; Лот бон иностранных (6шт): Хорватия ;  ;  ;  ;  ; 21 ; Whosaid ; 255 
 5991 ; Лот бон иностранных (12 шт): Польша ;  ;  ;  ;  ; 18 ; asus ; 181 
 5992 ; Лот бон иностранных (6шт): Югославия ;  ;  ;  ;  ; 7 ; sss282 ; 45 
 5993 ; Лот бон иностранных (7шт):Германия ;  ;  ;  ;  ; 23 ; FonPaul ; 243 
 5994 ; Лот бон иностранных (7шт): Германия ;  ;  ;  ;  ; 15 ; FonPaul ; 267 
 5995 ; Лот бон иностранных (8шт): Германия ;  ;  ;  ;  ; 31 ; FonPaul ; 329 
 5996 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 33 ; gorbi ; 306 
 5997 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 60 ; Первый Самураец ; 512 
 5998 ; Лот бон 5 шт ;  ;  ;  ;  ; 22 ; sibirian ; 66 
 5999 ; Бона иностранная Куба ;  ;  ;  ;  ; 5 ; karman ; 101 
 6000 ; Лот бон 2 шт. Китай ;  ;  ;  ;  ; 5 ; maksbelov ; 204 
 6001 ; Лот бон 3 шт. Испания ;  ;  ;  ;  ; 20 ; collector64 ; 255 
 6002 ; Лот бон 2 шт. Украина ;  ;  ;  ;  ; 17 ; Фест ; 193 
 6003 ; Лот нотгельдов 11 шт ;  ;  ;  ;  ; 35 ; kop ; 305 
 6004 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 24 ; K.V.N. ; 255 
 6005 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 15 ; Emv ; 67 
 6006 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 17 ; Emv ; 62 
 6007 ; Бона иностранная Венгрия ; 1930 ;  ;  ;  ; 24 ; K.V.N. ; 71 
 6008 ; Бона иностранная Венгрия ; 1941 ;  ;  ;  ; 9 ; Emv ; 57 
 6009 ; Лот бон иностранных Болгария 2 шт. ;  ;  ;  ; AU ; 24 ; cr2952 ; 128 
 6010 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 33 ; sneg ; 77 
 6011 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 26 ; Первый Самураец ; 567 
 6012 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 52 ; Первый Самураец ; 91 
 6013 ; Лот бон иностранных Аргентина 3шт. ;  ;  ;  ; AU ; 25 ; K.V.N. ; 340 
