 6645 ; Панно / чеканка Валаам. ;  ;  ; Ж/м ;  ; 20 ; шахтер-61 ; 1364 
 6646 ; Узкопленочная киносъемочная камера Пентака-8 с комплектом принадлежностей. ГДР. ;  ;  ;  ;  ; 9 ; evgen 66 ; 1515 
 6647 ; Бюст Лермонтов. Клеймо ЗХЛ. ;  ;  ; Б/м ;  ; 15 ; Боня ; 809 
 6648 ; Бюст Марк Аврелий. ;  ;  ;  ;  ; 44 ; MPV ; 716 
 6649 ; Бюст В.И. Ленин. Касли. 1981 год. ;  ;  ; Ж/м ;  ; 38 ; крлкв ; 816 
 6650 ; Статуэтка фарфоровая Мальчик. Песочное. 1959 год. ;  ;  ;  ;  ; 25 ; Dahan ; 1775 
 6651 ; Часы наручные, женские ACTUEL. Швейцария. ;  ;  ; Ж/м ;  ; 23 ; Arlekino82 ; 793 
 6652 ; Набор стопок 8 шт, мельхиор, эмаль. ;  ;  ;  ;  ; 20 ; никсер ; 536 
 6653 ; Транспортир Г.Белау и Сынъ. Санкт-Петербургъ. ;  ;  ; Ж/м ;  ; 44 ; -$$$- ; 826 
 6654 ; Логарифмическая линейка в футляре. СССР. 1972 год ;  ;  ;  ;  ; 31 ; Дачникк ; 257 
 6655 ; Статуэтка Шалаш Ленина. ;  ;  ; Ж/м ;  ; 24 ; veektor ; 324 
 6656 ; Лот запонок- 5 пар. ;  ;  ; Ж/м ;  ; 14 ; дилитант ; 255 
 6657 ; Исторический очерк развития Невского судостроительного и механического завода 1860-1910 гг. С-Петербург. 1910 год. ;  ;  ;  ;  ; 54 ; D-503 ; 17697 
 6658 ; Грозная туча. Сочинение С.М. Макаровой, с рисунками Н.Н. Каразина. С-Петербург. 1886 год. ;  ;  ;  ;  ; 45 ; Ленивый ; 2189 
 6659 ; Ясное солнышко и другие повести и рассказы Клавдии Лукашевич. Москва. 1898 год. ;  ;  ;  ;  ; 18 ; Руслан1981 ; 1589 
 6660 ; Е.А. Сысоева. История маленькой девочки. С рисунками Е.М. Мартыновой. С-Петербург. 1911 год. ;  ;  ;  ;  ; 33 ; Руслан1981 ; 1589 
 6661 ; История Петра Великого с 12 рисунками Г. Пилатти. С-Петербург-Москва. 1875 год. ;  ;  ;  ;  ; 88 ; Torro ; 7686 
 6662 ; Святое Евангелие от Матвея, Марка, Луки и Иоанна. С-Петербург. 1887 год. ;  ;  ;  ;  ; 8 ; ASTA ; 567 
 6663 ; Сочинения И.Лажечникова. Том 12. С-Петербург. 1884 год. ;  ;  ;  ;  ; 9 ; maks1986 ; 347 
 6664 ; Полное собрание сочинений И.Ф. Горбунова. Том 2. С-Петербург. 1904 год. ;  ;  ;  ;  ; 5 ; vorgarik ; 204 
 6665 ; Литературные и популярно-научные приложения к журналу Нива. Янв, Февр, Март, Апр. С-Петербург. 1907 год. ;  ;  ;  ;  ; 21 ; gelo ; 975 
 6666 ; Литературные и популярно-научные приложения к журналу Нива. Сент, Окт, Нояб, Дек. С-Петербург. 1907 год. ;  ;  ;  ;  ; 20 ; gelo ; 975 
 6667 ; М. Платенъ. Новый способ лечения. Том III. С-Петербургъ. ;  ;  ;  ;  ; 21 ; SALVADOR 10000000 ; 1538 
 6668 ; М. Платенъ. Новый способ лечения. Том IV. С-Петербургъ. ;  ;  ;  ;  ; 28 ; никсер ; 1533 
 6669 ; Святое Евангелие. Москва. 1906 год. ;  ;  ;  ;  ; 35 ; Starushka ; 1065 
 6670 ; Э. Лесгафт. Краткий курс физической географии. Москва-Лкенинград. 1927 год. ;  ;  ;  ;  ; 29 ; SALVADOR 10000000 ; 918 
 6671 ; Полное собрание сочинений Ф.М. Достоевского. Том 4. С-Петербург. 1904 год. ;  ;  ;  ;  ; 34 ; Duke666666 ; 1431 
 6672 ; Гражданский кодекс РСФСР. 1928 год. ;  ;  ;  ;  ; 38 ; SALVADOR 10000000 ; 2061 
 6673 ; М. Покровский. Русская история в самом сжатом очерке. Москва. 1922 год. ;  ;  ;  ;  ; 11 ; триори ; 323 
 6674 ; Л. Олькот. Маленькие женщины. Светоч. Одесса. ;  ;  ;  ;  ; 9 ; -$$$- ; 126 
 6675 ; А.С. Пругавинъ. Расколъ и секстанство. Москва. 1905 год. ;  ;  ;  ;  ; 27 ; giwi ; 1181 
 6676 ; Н.К. Лебедев. Полярные робинзоны. Молодая гвардия. 1929 год. ;  ;  ;  ;  ; 26 ; 78gen ; 567 
 6677 ; Газеты Ленинградская правда №102 от 1 мая 1965 г и №108 от 9 мая 1965 года. ;  ;  ;  ;  ; 32 ; SALVADOR 10000000 ; 79 
 6678 ; Газета Ленинградское Метро №21-22 от 14 марта 1953 года. Памяти И.В. Сталина. ;  ;  ;  ;  ; 37 ; SALVADOR 10000000 ; 114 
 6679 ; Газета Пионерская правда №62 от 5 августа 1947 года. ;  ;  ;  ;  ; 30 ; veektor ; 63 
 6680 ; Ноты Итальянский гимн. Издание О. ВЕНЦЕЛЬ. Петроград. ;  ;  ;  ;  ; 48 ; SALVADOR 10000000 ; 306 
 6681 ; Врачебная газета №44 от 2 ноября 1914 года. ;  ;  ;  ;  ; 28 ; MPV ; 305 
 6682 ; Журнал Трудовая помощь №3 март 1904 г. ;  ;  ;  ;  ; 20 ; Astra0000 ; 425 
 6683 ; Журнал Лотта-Свярд №20. 1941 год. ;  ;  ;  ;  ; 7 ; АВС ; 120 
 6684 ; И. Сталин. О Великой отечественной войне Советского Союза. Москва. 1947 год. ;  ;  ;  ;  ; 28 ; doc2 ; 716 
 6685 ; Журнал Перецъ №10, травень 1958 год. Киiв. ;  ;  ;  ;  ; 28 ; Dahan ; 127 
 6686 ; От конки до трамвая. Из истории Петербургского транспорта. Москва. 1994 год. ;  ;  ;  ;  ; 41 ; Affliction ; 747 
 6498 ; Оптовый лот, 13 книг (коробка). В. Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 19 ; все моё ; 206 
 6499 ; Оптовый лот, 20 книг (коробка). Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 45 ; все моё ; 1029 
 6500 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 12 ; все моё ; 379 
 6501 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 46 ; Влад791 ; 8000 
 6599 ; Набор украшений, серьги и кольцо с изумрудами и бриллиантами. Геммологическое заключение №01091. ;  ;  ; Au ;  ; 17 ; Vova1950 ; 51000 
