 5886 ; Акция США ; 1965 ;  ;  ;  ; 16 ; kostas ; 561 
 5887 ; Акция США ; 1969 ;  ;  ;  ; 8 ; knulla ; 57 
 5888 ; Акция США ; 1971 ;  ;  ;  ; 7 ; knulla ; 114 
 5889 ; Акция США ; 1984 ;  ;  ;  ; 10 ; knulla ; 57 
 5890 ; Облигация. Германия ; 1926 ;  ;  ;  ; 7 ; pref ; 46 
 5891 ; Акция. Германия ; 1927 ;  ;  ;  ; 8 ; pref ; 48 
 5892 ; Облигация. Германия ; 1937 ;  ;  ;  ; 21 ; Филипп Бенг ; 287 
 5893 ; Облигация. Германия ; 1927 ;  ;  ;  ; 12 ; pref ; 57 
 5894 ; Облигация. Германия ; 1927 ;  ;  ;  ; 7 ; Филипп Бенг ; 58 
 5895 ; Облигация. Германия ; 1926 ;  ;  ;  ; 11 ; Филипп Бенг ; 57 
 5896 ; Облигация. Германия ; 1929 ;  ;  ;  ; 13 ; pref ; 51 
 5897 ; Облигация. Германия ; 1926 ;  ;  ;  ; 13 ; Филипп Бенг ; 102 
 5898 ; Облигация. Германия ; 1940 ;  ;  ;  ; 17 ; Филипп Бенг ; 120 
 5899 ; Облигация. Германия ; 1927 ;  ;  ;  ; 11 ; pref ; 41 
 5900 ; Облигация. Германия ; 1930 ;  ;  ;  ; 13 ; aleantf ; 57 
 5901 ; Облигация. Германия ; 1924 ;  ;  ;  ; 19 ; ReSeRVeD ; 59 
 5902 ; Облигация. Германия ; 1930 ;  ;  ;  ; 46 ; Филипп Бенг ; 360 
 5836 ; Бона иностранная. Цейлон. 10 рупий ; 1977 ;  ;  ;  ; 17 ; michael ; 72 
 5837 ; Бона иностранная. Цейлон. 2 рупии ; 1972 ;  ;  ;  ; 30 ; lelikband ; 57 
 5838 ; Бона иностранная. Конго. 5 сантимо ; 1997 ;  ;  ;  ; 11 ; Моряк-собиратель ; 82 
 5839 ; Бона иностранная. Куба. 3 песо ; 2003 ;  ;  ;  ; 9 ; Oleht ; 48 
 5840 ; Бона иностранная. Эквадор. 20 сукрес ; 1971 ;  ;  ;  ; 21 ; max2008 ; 153 
 5841 ; Бона иностранная. Египет. 50 пиастров ; 2001 ;  ;  ;  ; 18 ; michael ; 41 
 5842 ; Бона иностранная. Египет. 10 пиастров ; 1971 ;  ;  ;  ; 17 ; Моряк-собиратель ; 104 
 5843 ; Бона иностранная. Египет. 10 пиастров ; 2007 ;  ;  ;  ; 11 ; michael ; 45 
 5844 ; Лот иностранных бон (2 шт):  Египет. 5 пиастров ; 1952/58, 1961 ;  ;  ;  ; 6 ; Моряк-собиратель ; 56 
 5845 ; Лот иностранных бон (6шт):  Египет. 1, 25, 50 пиастров ; 1980-2002 ;  ;  ;  ; 18 ; ЛАВ-13 ; 41 
 5846 ; Бона иностранная. Англия.1 фунт ; 1981/84 ;  ;  ;  ; 22 ; lelikband ; 107 
 5847 ; Бона иностранная. Англия. 10 пенсов. Британские вооруженные силы ; 1972 ;  ;  ;  ; 26 ; _1111_ ; 39 
 5848 ; Бона иностранная. Англия. 50 пенсов. Британские вооруженные силы ; 1972 ;  ;  ;  ; 15 ; _1111_ ; 39 
 5849 ; Бона иностранная. Лаос. 100 кип ; 1979 ;  ;  ;  ; 11 ; .gk ; 53 
 5850 ; Бона иностранная. Мексика. 5 песо ; 1971 ;  ;  ;  ; 12 ; DVZ ; 38 
 5851 ; Бона иностранная. Мозамбик. 50 эскудо ; 1972 ;  ;  ;  ; 11 ; avs ; 53 
 5852 ; Бона иностранная. Монголия. 10 монго ; 1993 ;  ;  ;  ; 8 ; Garry128 ; 25 
 5853 ; Бона иностранная. Монголия. 20 монго ; 1993 ;  ;  ;  ; 15 ; Garry128 ; 26 
 5854 ; Бона иностранная. Монголия. 50 монго ; 1993 ;  ;  ;  ; 13 ; Garry128 ; 26 
 5855 ; Бона иностранная. Непал. 1 рупия ; 1974 ;  ;  ;  ; 24 ; lelikband ; 57 
 5856 ; Бона иностранная. Непал. 5 рупий ; 1974 ;  ;  ;  ; 10 ; _1111_ ; 34 
 5857 ; Бона иностранная. Новая Зеландия. 1 доллар ; 1975/77 ;  ;  ;  ; 18 ; bva150979 ; 62 
 5858 ; Бона иностранная. Никарагуа. 1 кордоба ; 1991 ;  ;  ;  ; 10 ; michael ; 37 
 5859 ; Бона иностранная. Никарагуа. 20 кордоба ; 1985 ;  ;  ;  ; 9 ; наташа2712 ; 30 
 5860 ; Бона иностранная. Нигерия. 5 наира ; 2005 ;  ;  ;  ; 11 ; Моряк-собиратель ; 55 
