 4827 ; Бона иностранная. Дания. 1 крона ; 1916 ;  ;  ;  ; 23 ; спарта ; 226 
 4828 ; Бона иностранная. Дания. 1 крона ;  ;  ;  ;  ; 13 ; 333985 ; 215 
 4829 ; Бона иностранная. Австрия. 10 крон ; 1922 ;  ;  ;  ; 9 ; asus ; 212 
 4830 ; Бона иностранная. Германия. 100 марок ; 1908 ;  ;  ;  ; 11 ; krft ; 157 
 4831 ; Бона иностранная. Германия. 5 марок ; 1917 ;  ;  ;  ; 3 ; doiu33 ; 101 
 4832 ; Бона иностранная. Германия. 50 000 марок ; 1922 ;  ;  ;  ; 24 ; krft ; 53 
 4833 ; Бона иностранная. Германия. 1 000 000 марок ; 1923 ;  ;  ;  ; 29 ; doiu33 ; 277 
 4834 ; Бона иностранная. Германия. 20 000 марок ; 1923 ;  ;  ;  ; 27 ; aleantf ; 69 
 4835 ; Бона иностранная. Германия. 100 000 000 марок ; 1923 ;  ;  ;  ; 16 ; aleantf ; 69 
 4836 ; Бона иностранная. Германия. 500 000 000 марок ; 1923 ;  ;  ;  ; 18 ; }|{ивотное ; 127 
 4837 ; Бона иностранная. Германия. 50 000 000 марок ; 1923 ;  ;  ;  ; 8 ; asus ; 255 
 4838 ; Лот иностранных бон. Германия. 5000 марок. 2 шт ; 1922 ;  ;  ;  ; 20 ; asus ; 72 
 4839 ; Лот иностранных бон. Германия. 10 000 марок. 2 шт ; 1922 ;  ;  ;  ; 17 ; НЭРИ ; 79 
 4840 ; Лот иностранных бон. Германия. 1000 марок. 2 шт ; 1910 ;  ;  ;  ; 23 ; krft ; 204 
 4841 ; Лот иностранных бон. Германия. 100 марок. 2 шт ; 1920 ;  ;  ;  ; 5 ; doiu33 ; 123 
 4842 ; Лот иностранных бон. Германия. 100 000 марок. 2 шт ; 1923 ;  ;  ;  ; 11 ; doiu33 ; 213 
 4843 ; Лот иностранных бон. Германия. 50 марок. 2 шт ; 1919 ;  ;  ;  ; 12 ; 33madmax33 ; 67 
 4844 ; Лот иностранных бон. Германия. 1000 марок. 2 шт ; 1922 ;  ;  ;  ; 24 ; 33madmax33 ; 65 
 4845 ; Лот иностранных бон. Германия. 2 000 000 марок. 3 шт ; 1923 ;  ;  ;  ; 15 ; doiu33 ; 237 
 4846 ; Лот иностранных бон. Германия. 10 000 000 марок. 3 шт ; 1923 ;  ;  ;  ; 13 ; doiu33 ; 227 
