 5921 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; USS ; 43 
 5922 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 25 ; корса ; 159 
 5923 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 19 ; VAZ-2107 ; 65 
 5924 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 22 ; дилитант ; 126 
 5925 ; Бона иностранная Италия ;  ;  ;  ;  ; 4 ; Ssid ; 27 
 5926 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 19 ; flutter ; 133 
 5927 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 7 ; SIBPROPILOT ; 126 
 5928 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 23 ; Дмитрий161 ; 40 
 5929 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 24 ; diskus72 ; 53 
 5930 ; Бона иностранная Перу ;  ;  ;  ;  ; 3 ; kaktus1 ; 27 
 5931 ; Бона иностранная Перу ;  ;  ;  ;  ; 25 ; 2128508 ; 114 
 5932 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; 2128508 ; 92 
 5933 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; _Gera_ ; 28 
 5934 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 9 ; gdrg2 ; 34 
 5935 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; _Gera_ ; 30 
 5936 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 11 ; shulch100 ; 35 
 5937 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 10 ; shulch100 ; 32 
 5938 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 11 ; shulch100 ; 37 
 5939 ; Бона иностранная Иран ;  ;  ;  ;  ; 7 ; 2128508 ; 102 
 5940 ; Бона иностранная Иран ;  ;  ;  ;  ; 7 ; 2128508 ; 118 
 5941 ; Бона иностранная Иран ;  ;  ;  ;  ; 5 ; shulch100 ; 90 
 5942 ; Бона иностранная Иран ;  ;  ;  ;  ; 12 ; kaktus1 ; 27 
 5943 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 35 ; 2128508 ; 113 
 5944 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 11 ; 2128508 ; 104 
