 5940 ; Лот бон 2 шт. Болгария ; 1951 ;  ;  ;  ; 14 ; cr2952 ; 111 
 5941 ; Бона иностранная ;  ;  ;  ;  ; 23 ; sneg ; 83 
 5942 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Sky2 ; 159 
 5890 ; Бона иностранная Германия ;  ;  ;  ;  ; 28 ; p1a1v1 ; 155 
 5891 ; Бона иностранная Германия ;  ;  ;  ;  ; 52 ; p1a1v1 ; 356 
 5892 ; Бона иностранная Германия ;  ;  ;  ;  ; 34 ; p1a1v1 ; 159 
 5893 ; Бона иностранная Германия ;  ;  ;  ;  ; 50 ; p1a1v1 ; 357 
 5894 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; nikfed ; 101 
 5895 ; Бона иностранная Югославия ;  ;  ;  ;  ; 44 ; air ; 312 
 5896 ; Лот  Бон иностранных Польша/Югославия 2 шт. ;  ;  ;  ;  ; 20 ; Папа с рацией ; 132 
 5897 ; Лот  Бон иностранных Бельгия/Швейцария 2 шт. ;  ;  ;  ;  ; 37 ; середа ; 350 
 5898 ; Лот  Бон иностранных Бельгия/Нидерланды 3 шт. ;  ;  ;  ;  ; 33 ; середа ; 200 
 5899 ; Лот  Бон иностранных Бельгия 2 шт. ;  ;  ;  ;  ; 16 ; середа ; 63 
 5900 ; Лот  Бон иностранных Чехия/Словения 6 шт. ;  ;  ;  ;  ; 26 ; середа ; 226 
 5901 ; Лот  Бон иностранных Чехословакия/Болгария 7 шт. ;  ;  ;  ;  ; 12 ; unkas79 ; 143 
 5902 ; Лот  Бон иностранных Чехословакия/Болгария 11 шт. ;  ;  ;  ;  ; 30 ; Серж PirGS ; 248 
 5903 ; Лот  Бон иностранных Германия 8 шт. ;  ;  ;  ;  ; 37 ; Папа с рацией ; 290 
 5904 ; Лот  Бон иностранных 4 шт. ;  ;  ;  ;  ; 10 ; Папа с рацией ; 91 
 5905 ; Лот  Бон иностранных 3 шт. ;  ;  ;  ;  ; 36 ; nb ; 1246 
 5906 ; Лот  Бон иностранных Румыния 5 шт. ;  ;  ;  ;  ; 27 ; середа ; 192 
 5907 ; Бона иностранная Польша ;  ;  ;  ;  ; 19 ; eol69 ; 101 
 5908 ; Бона иностранная Германия ;  ;  ;  ;  ; 33 ; p1a1v1 ; 306 
 5909 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; p1a1v1 ; 408 
 5910 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; flutter ; 150 
