 3190 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 223355 ; 156 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ICEK ; 189 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 36 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 17 ; mifod ; 51 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Sky2 ; 35 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 73 ; нумизмат ; 177 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 21 ; МОЁ ; 37 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 36 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 63 ; lesnik1 ; 153 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ICEK ; 255 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 41 ; bethowen ; 65 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 17 ; QSL ; 41 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 17 ; QSL ; 41 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 5 ; QSL ; 28 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Sky2 ; 40 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 5 ; QSL ; 35 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 5 ; QSL ; 36 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 6 ; QSL ; 29 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mifod ; 29 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 44 ; ICEK ; 153 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 9 ; джокер ; 31 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ICEK ; 66 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 9 ; джокер ; 31 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ICEK ; 267 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 48 ; ICEK ; 101 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ICEK ; 74 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 17 ; QSL ; 42 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 32 ; lelik ; 51 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Sky2 ; 40 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 62 ; bethowen ; 104 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ICEK ; 57 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Sky2 ; 50 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Sky2 ; 34 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 33 ; ICEK ; 63 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ICEK ; 58 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 43 ; eddy ; 68 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 7 ; QSL ; 36 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 77 ; ICEK ; 99 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 75 ; smel ; 255 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 22 ; тнн ; 33 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 44 ; джокер ; 85 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ICEK ; 160 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Sky2 ; 203 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Sky2 ; 57 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 20 ; джокер ; 24 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ICEK ; 79 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 23 ; джокер ; 57 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 24 ; тнн ; 50 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ICEK ; 123 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 68 ; Vict_1 ; 82 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ICEK ; 55 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 30 ; ICEK ; 104 
 3090 ; 1 рубль ; 1928 ; Гос.казначейские билеты СССР  ;  ; AU ; 74 ; Gop ; 8160 
 3091 ; 1 рубль ; 1928 ; Гос.казначейские билеты СССР  ;  ; AU ; 73 ; Gop ; 8160 
 3092 ; 1 червонец ; 1926 ; Шейнман. Билет  ;  ; AU ; 93 ; Gop ; 19949 
 3093 ; 1 червонец ; 1926 ; Пятаков. Билет  ;  ; AU ; 11 ; Gop ; 20937 
 3094 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет  ;  ; AU ; 89 ; Gop ; 17930 
 3095 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 51 ; hotin ; 545 
 3096 ; Акция. Одесса ; 1881 ;  ;  ;  ; 29 ; klm ; 490 
 3097 ; Акция. Тифлис ; 1901 ;  ;  ;  ; 17 ; klm ; 468 
 3098 ; Акция. Одесса ; 1880 ;  ;  ;  ; 21 ; klm ; 490 
 3099 ; Акция металлургического об-ва ; 1900 ;  ;  ;  ; 18 ; klm ; 408 
 3100 ; Облигация двинско-Витебской ж/д ; 1894 ;  ;  ;  ; 7 ; klm ; 1530 
 3101 ; Облигация Донецкой ж/д ; 1893 ;  ;  ;  ; 29 ; klm ; 3081 
 3102 ; Свидетельство Русско-Азиатского банка ; 1910 ;  ;  ;  ; 37 ; Mike! ; 459 
 3103 ; Акция. Одесса ; 1910 ;  ;  ;  ; 14 ; QSL ; 486 
 3104 ; Заем г. Москвы ; 1908 ;  ;  ;  ; 34 ; 223355 ; 714 
 3105 ; Облигация ; 1885 ;  ;  ;  ; 13 ; klm ; 782 
 3106 ; Облигация ; 1885 ;  ;  ;  ; 12 ; klm ; 420 
 3107 ; Облигация ; 1885 ;  ;  ;  ; 6 ; klm ; 435 
 3108 ; Облигация ; 1885 ;  ;  ;  ; 5 ; ppp ; 237 
 3109 ; Облигация ; 1885 ;  ;  ;  ; 46 ; klm ; 306 
 3110 ; Облигация ; 1885 ;  ;  ;  ; 20 ; klm ; 303 
 3111 ; Облигация ; 1885 ;  ;  ;  ; 11 ; klm ; 680 
 3112 ; Облигация ; 1885 ;  ;  ;  ; 3 ; klm ; 714 
 3113 ; Облигация. Берестов ; 1898 ;  ;  ;  ; 14 ; 223355 ; 209 
