 5879 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ewgen ; 18 
 5880 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ewgen ; 18 
 5881 ; Бона иностранная ;  ;  ;  ;  ; 9 ; imago ; 16 
 5882 ; Бона иностранная ;  ;  ;  ;  ; 7 ; imago ; 13 
 5883 ; Бона иностранная ;  ;  ;  ;  ; 14 ; som-media ; 26 
 5884 ; Бона иностранная ;  ;  ;  ;  ; 19 ; _1111_ ; 25 
 5885 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Скрудж ; 29 
 5886 ; Бона иностранная ;  ;  ;  ;  ; 8 ; imago ; 13 
 5887 ; Бона иностранная ;  ;  ;  ;  ; 8 ; imago ; 15 
 5888 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Jek327 ; 29 
 5889 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Jek327 ; 26 
 5890 ; Бона иностранная ;  ;  ;  ;  ; 6 ; imago ; 14 
 5891 ; Бона иностранная ;  ;  ;  ;  ; 12 ; _1111_ ; 16 
 5892 ; Бона иностранная ;  ;  ;  ;  ; 20 ; _1111_ ; 24 
 5893 ; Бона иностранная ;  ;  ;  ;  ; 19 ; atk ; 26 
 5894 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ALEX150 ; 15 
 5895 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ewgen ; 22 
 5896 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ewgen ; 26 
 5897 ; Бона иностранная ;  ;  ;  ;  ; 16 ; som-media ; 33 
 5898 ; Бона иностранная ;  ;  ;  ;  ; 22 ; imago ; 26 
 5899 ; Бона иностранная ;  ;  ;  ;  ; 24 ; imago ; 31 
 5900 ; Бона иностранная ;  ;  ;  ;  ; 19 ; .gk ; 75 
 5901 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 68 
 5902 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kent01 ; 68 
 5903 ; Бона иностранная ;  ;  ;  ;  ; 13 ; прохожий ; 68 
 5904 ; Бона иностранная ;  ;  ;  ;  ; 14 ; прохожий ; 102 
 5905 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alex995 ; 22 
 5906 ; Бона иностранная ;  ;  ;  ;  ; 7 ; .gk ; 15 
 5907 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 51 
 5908 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 68 
 5909 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 72 
 5910 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 75 
 5911 ; Бона иностранная ;  ;  ;  ;  ; 18 ; OlegFox ; 104 
 5912 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 58 
 5913 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 62 
 5914 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 72 
 5829 ; Лот иностранных бон. Кипр (2 шт) ; 1979, 1987 ;  ;  ;  ; 24 ; прохожий ; 84 
 5830 ; Лот иностранных бон. Эквадор (3 шт) ; 1988 ;  ;  ;  ; 45 ; vitaliy036 ; 340 
 5831 ; Бона иностранная. Эквадор. 10 сукрес ; 1988 ;  ;  ;  ; 28 ; vitaliy036 ; 227 
 5832 ; Лот иностранных бон. Египет (9 шт) ; 1985-2006 ;  ;  ;  ; 20 ; ship-nik ; 79 
 5833 ; Лот иностранных бон.Египет (5 шт) ; 1971-2007 ;  ;  ;  ; 17 ; ship-nik ; 47 
 5834 ; Лот иностранных бон. Великобритания (3 шт): Вооруженные силы. 1 фунт ; 1948-1962 ;  ;  ;  ; 71 ; прохожий ; 204 
 5835 ; Бона иностранная. Фиджи. 2 доллара ; 1995 ;  ;  ;  ; 28 ; ИЮМов1 ; 96 
 5836 ; Лот иностранных бон. Лаос (4 шт) ; 1979, 1988 ;  ;  ;  ; 31 ; .gk ; 124 
 5837 ; Бона иностранная. Ливан. 250 ливров ; 1983 ;  ;  ;  ; 10 ; imago ; 27 
 5838 ; Лот иностранных бон. Ливан (3 шт) ; 1972-1988 ;  ;  ;  ; 52 ; прохожий ; 106 
 5839 ; Лот иностранных бон. Ливия (3 шт) ; 1951-1991 ;  ;  ;  ; 19 ; ИЮМов1 ; 235 
 5840 ; Бона иностранная. Макао. 10 питакас ; 1981 ;  ;  ;  ; 27 ; ИЮМов1 ; 153 
 5841 ; Бона иностранная. Македония. 10 динар ; 1997 ;  ;  ;  ; 19 ; lemofo ; 79 
 5842 ; Лот иностранных бон. Македония  (2 шт) ; 1992 ;  ;  ;  ; 38 ; jj ; 57 
 5843 ; Лот иностранных бон. Малайзия  (2 шт) ; 1941 ;  ;  ;  ; 40 ; alex1974 ; 407 
 5844 ; Лот иностранных бон. Малави (3 шт) ; 1997 ;  ;  ;  ; 14 ; прохожий ; 114 
 5845 ; Лот иностранных бон. Мексика (2 шт) ; 1976 ;  ;  ;  ; 18 ; прохожий ; 59 
 5846 ; Лот иностранных бон. Марокко (2 шт) ; 1970-1996 ;  ;  ;  ; 14 ; прохожий ; 114 
 5847 ; Бона иностранная. Мозамбик. 500 эскудо ; 1976 ;  ;  ;  ; 18 ; прохожий ; 28 
 5848 ; Лот иностранных бон. Монголия (2 шт) ; 1955, 1966 ;  ;  ;  ; 30 ; sikachai ; 92 
 5849 ; Лот иностранных бон. Монголия (2 шт) ; 2002, 2005 ;  ;  ;  ; 28 ; lemofo ; 50 
 5850 ; Лот иностранных бон. Непал (4 шт) ; 1981-1991 ;  ;  ;  ; 33 ; alex1974 ; 216 
 5851 ; Лот иностранных бон. Сингапур (2 шт) ; 1990-1976 ;  ;  ;  ; 15 ; Woker ; 31 
 5852 ; Бона иностранная. Никарагуа. 10 кордоба ; 2007 ;  ;  ;  ; 17 ; kaa123 ; 40 
 5853 ; Бона иностранная. Норвегия. 10 крон ; 1970 ;  ;  ;  ; 29 ; прохожий ; 56 
 5854 ; Лот иностранных бон. Норвегия (2 шт): 1 крона ; 1943, 1948 ;  ;  ;  ; 24 ; smel ; 56 
 5855 ; Лот иностранных бон. Оман (2 шт) ; 1973 ;  ;  ;  ; 22 ; прохожий ; 101 
 5856 ; Лот иностранных бон. Пакистан (4 шт) ; 1964-1983 ;  ;  ;  ; 18 ; прохожий ; 45 
 5857 ; Облигация в 100 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 31 ; vitaliy036 ; 204 
 5858 ; Облигация в 200 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 22 ; vitaliy036 ; 227 
 5859 ; Акция. Германия ; 1924 ;  ;  ;  ; 22 ; Витал ; 153 
 5860 ; Акция. Германия ; 1924 ;  ;  ;  ; 13 ; Новик ; 153 
 5861 ; Облигация. Германия ; 1937 ;  ;  ;  ; 11 ; OlegFox ; 204 
 5862 ; Облигация. Германия ; 1941 ;  ;  ;  ; 39 ; Schwer ; 267 
 5863 ; Облигация. Германия ; 1927 ;  ;  ;  ; 10 ; Новик ; 153 
 5864 ; Облигация. Германия ; 1929 ;  ;  ;  ; 10 ; Новик ; 153 
 5865 ; Облигация. Германия ; 1928 ;  ;  ;  ; 10 ; OlegFox ; 204 
 5866 ; Облигация. Германия ; 1928 ;  ;  ;  ; 20 ; Antys10 ; 153 
 5867 ; Облигация. Германия ; 1927 ;  ;  ;  ; 11 ; OlegFox ; 150 
 5868 ; Акция США ;  ;  ;  ;  ; 6 ; OlegFox ; 150 
 5869 ; Акция США ; 1984 ;  ;  ;  ; 9 ; OlegFox ; 150 
 5870 ; Акция США ; 1984 ;  ;  ;  ; 9 ; OlegFox ; 150 
 5871 ; Акция США ; 1975 ;  ;  ;  ; 10 ; OlegFox ; 150 
 5872 ; Акция США ; 1972 ;  ;  ;  ; 25 ; OlegFox ; 150 
 5873 ; Акция США ; 1959 ;  ;  ;  ; 8 ; OlegFox ; 150 
 5874 ; Коллекция нотгельдов в альбоме (220шт). Германия ;  ;  ;  ;  ; 57 ; electra ; 7650 
 5875 ; Коллекция нотгельдов в альбоме (220шт). Германия ;  ;  ;  ;  ; 47 ; electra ; 7595 
 5876 ; Бона иностранная ;  ;  ;  ;  ; 15 ; atk ; 25 
 5877 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Northman ; 305 
 5878 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Почта России ; 25 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 17 ; .gk ; 100 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ewgen ; 20 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 28 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 6 ; max2008 ; 30 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 6 ; imago ; 11 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 6 ; imago ; 11 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 32 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ек ; 266 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ек ; 266 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 56 ; О. Бендер ; 355 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 46 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 14 ; chex88 ; 136 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 102 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 102 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 5 ; imago ; 11 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Northman ; 50 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 33 ; прохожий ; 55 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 39 ; прохожий ; 112 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Ставро ; 151 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 17 ; xandexoxa ; 30 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 19 ; я8844 ; 28 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 19 ; я8844 ; 28 
 5801 ; Бона иностранная. Уругвай. 1 песо ; 1938 ;  ;  ;  ; 56 ; Northman ; 356 
 5802 ; Бона иностранная. Финляндия. 20 марок ; 1945 ;  ;  ;  ; 12 ; vasek ; 453 
 5803 ; Бона иностранная. Финляндия. 10 марок ; 1945 ;  ;  ;  ; 20 ; dsp ; 87 
 5804 ; Лот иностранных бон. Финляндия (3 шт) ; 1916, 1918, 1963 ;  ;  ;  ; 32 ; xandexoxa ; 179 
 5805 ; Лот иностранных бон. Литва (4 шт): Талоны ; 1991-1992 ;  ;  ;  ; 42 ; seger ; 104 
 5806 ; Бона иностранная. Афганистан. 10 000 афгани ;  ;  ;  ;  ; 17 ; Новик ; 32 
 5807 ; Лот иностранных бон. Афганистан (3 шт) ; 1973-1990 ;  ;  ;  ; 19 ; Новик ; 42 
 5808 ; Бона иностранная. Албания. 1 леке ; 1976 ;  ;  ;  ; 20 ; Pipe ; 38 
 5809 ; Бона иностранная. Албания. 5 леке ; 1976 ;  ;  ;  ; 29 ; Pipe ; 132 
 5810 ; Лот иностранных бон. Аргентина (3 шт) ; 1985/89 ;  ;  ;  ; 11 ; STANDART ; 62 
 5811 ; Лот иностранных бон. Аргентина (2 шт). 10 песо ; 1974-1984 ;  ;  ;  ; 12 ; 18051951 ; 79 
 5812 ; Лот иностранных бон. Австралия (3 шт) ; 1970/74 ;  ;  ;  ; 64 ; alex1974 ; 750 
 5813 ; Лот иностранных бон. Бангладеш (3 шт) ; 1978-1988 ;  ;  ;  ; 32 ; .gk ; 55 
 5814 ; Бона иностранная. Бельгия. 10 франков ; 1943 ;  ;  ;  ; 27 ; прохожий ; 114 
 5815 ; Бона иностранная. Бельгия. 100 фпанков ; 1958 ;  ;  ;  ; 19 ; я8844 ; 305 
 5816 ; Лот иностранных бон. Бельгия (2 шт) ; 1964-1966 ;  ;  ;  ; 15 ; прохожий ; 56 
 5817 ; Бона иностранная. Биафра. 1 фунт ; 1968/69 ;  ;  ;  ; 59 ; прохожий ; 126 
 5818 ; Бона иностранная. Босния и Герцеговина. 10 динар. С надпечаткой "100 000 динар" ; 1993 ;  ;  ;  ; 20 ; Sterh ; 57 
 5819 ; Бона иностранная. Бразилия. 5 крузейро ; 1964 ;  ;  ;  ; 18 ; Ставро ; 102 
 5820 ; Лот иностранных бон. Бразилия  (3 шт) ; 1990 ;  ;  ;  ; 20 ; vitaliy036 ; 136 
 5821 ; Бона иностранная. Болгария. 50 левов золотом ; 1917 ;  ;  ;  ; 46 ; gigajohn ; 716 
 5822 ; Лот иностранных бон. Болгария (2 шт) ; 1974 ;  ;  ;  ; 28 ; gigajohn ; 133 
