 4831 ; Бона иностранная Республика Доминикана ; 2002 ;  ;  ;  ; 4 ; kent01 ; 40 
 4832 ; Бона иностранная Эквадор ; 1988 ;  ;  ;  ; 19 ; max2008 ; 167 
 4833 ; Бона иностранная Боливия ; 1984 ;  ;  ;  ; 12 ; Northman ; 120 
 4834 ; Бона иностранная Мальдивские о-ва ;  ;  ;  ;  ; 17 ; D.F.C. ; 104 
 4835 ; Бона иностранная Мексика ; 1970 ;  ;  ;  ; 7 ; max2008 ; 101 
 4836 ; Бона иностранная ;  ;  ;  ;  ; 9 ; max2008 ; 132 
 4837 ; Бона иностранная ;  ;  ;  ;  ; 14 ; max2008 ; 152 
 4838 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sikachai ; 101 
 4839 ; Бона иностранная Соломоновы о-ва ;  ;  ;  ;  ; 16 ; advokatx ; 91 
 4840 ; Бона иностранная Замбия ; 2003 ;  ;  ;  ; 20 ; kent01 ; 61 
 4841 ; Бона иностранная Венесуела ; 2008 ;  ;  ;  ; 20 ; fantiki ; 57 
 4842 ; Бона иностранная Венесуела ; 1998 ;  ;  ;  ; 18 ; fantiki ; 68 
 4843 ; Бона иностранная Иран ; 2000 ;  ;  ;  ; 13 ; 19Vlad72 ; 31 
 4844 ; Бона иностранная Иран ;  ;  ;  ;  ; 12 ; sveta6369 ; 36 
 4845 ; Бона иностранная Иран ;  ;  ;  ;  ; 13 ; Rober ; 23 
 4846 ; Бона иностранная Болгария ; 1992 ;  ;  ;  ; 26 ; yuri.gruzdev ; 94 
 4847 ; Бона иностранная Болгария ; 1991 ;  ;  ;  ; 18 ; yuri.gruzdev ; 68 
 4848 ; Бона иностранная Болгария ; 1993 ;  ;  ;  ; 18 ; yuri.gruzdev ; 87 
 4849 ; Бона иностранная Хорватия ; 1993 ;  ;  ;  ; 12 ; 19Vlad72 ; 23 
 4850 ; Бона иностранная Хорватия ; 1993 ;  ;  ;  ; 8 ; 19Vlad72 ; 23 
 4851 ; Бона иностранная Македония ; 2001 ;  ;  ;  ; 16 ; sikachai ; 57 
 4852 ; Бона иностранная 2 шт. Сербия ; 2011 ;  ;  ;  ; 24 ; kent01 ; 71 
 4853 ; Бона иностранная Конго ; 2007 ;  ;  ;  ; 21 ; Smit ; 67 
 4854 ; Бона иностранная Конго ; 2003 ;  ;  ;  ; 30 ; Smit ; 86 
 4855 ; Бона иностранная Монголия ; 1955 ;  ;  ;  ; 23 ; 收集者 ; 112 
 4856 ; Бона иностранная КНДР ;  ;  ;  ;  ; 24 ; garsn ; 90 
 4857 ; Бона иностранная 2 шт. Пакистан ; 2007,2008 ;  ;  ;  ; 19 ; kent01 ; 71 
 4858 ; Бона иностранная Мозамбик ; 1967 ;  ;  ;  ; 20 ; 19Vlad72 ; 57 
 4859 ; Бона иностранная 2 шт Заир ; 1993 ;  ;  ;  ; 12 ; gerber68 ; 70 
 4860 ; Бона иностранная Заир ; 1993 ;  ;  ;  ; 14 ; kent01 ; 53 
 4861 ; 100 пенго ;  ;  ;  ;  ; 16 ; 19Vlad72 ; 50 
 4377 ; Лот 3 шт. Туркменистан ; 2005 ;  ;  ; AU ; 19 ; Скрудж ; 112 
 4378 ; 5 сом ; 1997 ; Кыргызстан ;  ; AU ; 7 ; kent01 ; 37 
 4379 ; Лот купон 2 шт. 50 и 100 рублей ; 1993 ;  ;  ; AU ; 12 ; sveta6369 ; 69 
