 5952 ; Почтовая карточка ;  ;  ;  ;  ; 83 ; flutter ; 296 
 5953 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; фрегат ; 45 
 5954 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; фрегат ; 64 
 5955 ; Почтовая карточка ;  ;  ;  ;  ; 14 ; Ratmen ; 126 
 5956 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; Ratmen ; 110 
 5957 ; Почтовая карточка ;  ;  ;  ;  ; 18 ; flutter ; 255 
 5958 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; Ratmen ; 101 
 5959 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; фрегат ; 45 
 5960 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; Ratmen ; 101 
 5961 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; 333985 ; 24 
 5962 ; Почтовая карточка ;  ;  ;  ;  ; 16 ; кузяка ; 71 
 5963 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; кузяка ; 80 
 5964 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; кузяка ; 80 
 5965 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; фрегат ; 65 
 5966 ; Почтовая карточка ;  ;  ;  ;  ; 13 ; фрегат ; 45 
 5967 ; Почтовая карточка ;  ;  ;  ;  ; 14 ; фрегат ; 55 
 5968 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; магаз ; 32 
 5969 ; Почтовая карточка ;  ;  ;  ;  ; 31 ; Ratmen ; 187 
 5970 ; Почтовая карточка ;  ;  ;  ;  ; 19 ; Ratmen ; 101 
 5971 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; кузяка ; 80 
 5972 ; Лот конвертов (2 штуки) 1961 год ;  ;  ;  ;  ; 10 ; Ratmen ; 114 
 5973 ; Лот конвертов (2 штуки) "40 лет Советской почтовой марки" ;  ;  ;  ;  ; 17 ; Ratmen ; 216 
 5974 ; Конверт со спецгашением 114ая годовщина с Дня рождения В.И .Ленина 1984 год ;  ;  ;  ;  ; 32 ; Ratmen ; 261 
 5975 ; Лот конвертов (6 штук) XIII Зимние Олимпийские игры "Лейк -Плэсид"1980г ;  ;  ;  ;  ; 8 ; doc2 ; 200 
