 5824 ; Лот иностранных бон (2 шт): Хорватия.1, 5 крон ; 1941, 1942 ;  ;  ;  ; 34 ; doiu33 ; 316 
 5825 ; Лот иностранных бон (4 шт): Болгария.1, 2, 5 левов ; 1962, 1974 ;  ;  ;  ; 11 ; vesta78 ; 180 
 5826 ; Лот иностранных бон (2 шт): Болгария.10, 20 левов ; 1974 ;  ;  ;  ; 9 ; gigajohn ; 212 
 5827 ; Лот иностранных бон (2 шт): Болгария. 20, 100 левов ; 1991 ;  ;  ;  ; 17 ; ОВМ ; 138 
 5828 ; Лот иностранных бон (2 шт): Болгария.50, 200 левов ; 1992 ;  ;  ;  ; 9 ; gigajohn ; 95 
 5829 ; Лот иностранных бон (2 шт): Чехия. 20,  200 крон ; 1988,  1998 ;  ;  ;  ; 30 ; talionis ; 275 
 5830 ; Лот иностранных бон (2 шт): Чехия. 100,  200 крон ; 1995, 1998, ;  ;  ;  ; 21 ; talionis ; 327 
 5831 ; Лот иностранных бон (2 шт): Чехия. 50,  200 крон ; 1997, 1993 ;  ;  ;  ; 21 ; talionis ; 280 
 5832 ; Лот иностранных бон (3 шт): Чехия. 100, 200, 500 крон ; 1997, 1993 ;  ;  ;  ; 22 ; talionis ; 429 
 5833 ; Лот иностранных бон (3 шт): Сербская краина. 5, 100, 500 миллионов динар ; 1993 ;  ;  ;  ; 50 ; market_spb ; 363 
 5834 ; Лот иностранных бон (3 шт): Босния и Герцеговина. 10, 10 000 000 динар ; 1992, 1993 ;  ;  ;  ; 32 ; Gera_K ; 272 
 5835 ; Лот иностранных бон (2 шт): Хорватия. 1, 10 кун ; 1991, 2001 ;  ;  ;  ; 23 ; IvanSer ; 69 
 5836 ; Лот иностранных бон (2 шт): Хорватия. 5, 10 кун ; 1991, 2001 ;  ;  ;  ; 25 ; IvanSer ; 59 
 5837 ; Лот иностранных бон (3 шт): Хорватия - 1, 10 кун, Словакия - 20 крон ; 1991, 1993, 1995 ;  ;  ;  ; 33 ; ОВМ ; 102 
 5838 ; Бона иностранная. 10 крон Норвегия ; 1979 ;  ;  ;  ; 29 ; Wasabi ; 512 
 5839 ; Бона иностранная. 5 марок  ФРГ ; 1960 ;  ;  ;  ; 9 ; cochu ; 184 
 5840 ; Бона иностранная. 5 гульденов Нидерланды ; 1973 ;  ;  ;  ; 34 ; газета ; 255 
 5841 ; Бона иностранная. 5 песет Испания ; 1979 ;  ;  ;  ; 31 ; sos1 ; 448 
 5842 ; Бона иностранная. 1000 драхм Греция ; 1987 ;  ;  ;  ; 23 ; IvanSer ; 150 
 5843 ; Бона иностранная. 1 гулбден  Нидерланды ; 1943 ;  ;  ;  ; 13 ; Первый Самураец ; 453 
 5844 ; Бона иностранная. 10 шилингов Гибралтар ; 1958 ;  ;  ;  ; 20 ; von_Schwarz ; 520 
 5845 ; Бона иностранная. 10 крон Фарерские о-ва ; 1949 ;  ;  ;  ; 11 ; smel ; 314 
 5846 ; Бона иностранная. 1 фунт Англия ;  ;  ;  ;  ; 9 ; alehandr ; 137 
 5847 ; Бона иностранная. 1/2 марки Германия ; 1944 ;  ;  ;  ; 14 ; Gera_K ; 165 
 5848 ; Бона иностранная. 10 крон Швеция ; 1938 ;  ;  ;  ; 21 ; Первый Самураец ; 587 
 5849 ; Бона иностранная. 5 крон Швеция ; 1977 ;  ;  ;  ; 40 ; dsp ; 201 
 5850 ; Бона иностранная. 10 крон Гренландия ;  ;  ;  ;  ; 31 ; von_Schwarz ; 805 
 5851 ; Бона иностранная. 1 марка ;  ;  ;  ;  ; 9 ; Первый Самураец ; 153 
 5852 ; Лот бон иностранных Германия. 6шт ; 1920-23 ;  ;  ;  ; 11 ; vesta78 ; 192 
 5853 ; Лот бон иностранных. 7 шт ;  ;  ;  ;  ; 29 ; Pif 1 ; 232 
 5854 ; Бона иностранная. Германия 100 марок ; 1910 ;  ;  ;  ; 30 ; Johnny Walker ; 195 
 5855 ; Лот бон иностранных Украина. 10 шт ;  ;  ;  ;  ; 11 ; Nejdan ; 221 
 5856 ; Лот бон иностранных.11 шт ;  ;  ;  ;  ; 17 ; vladzory ; 323 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 83 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 105 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ctepanovich ; 114 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ОВМ ; 110 
