 5964 ; Бона иностранная Гана 5 седи ; 1978 ;  ;  ;  ; 21 ; ZIMOGOR ; 67 
 5965 ; Бона иностранная Гана 10 седи ; 1978 ;  ;  ;  ; 27 ; SS2008 ; 65 
 5966 ; Бона иностранная Индонезия 100 рупий  ; 1968 ;  ;  ;  ; 13 ; WRC ; 31 
 5967 ; Бона иностранная Уганда 20 шилингов ;  ;  ;  ;  ; 20 ; братья Гавс ; 108 
 5968 ; Бона иностранная Венесуэла 20 боливаров ; 1984 ;  ;  ;  ; 9 ; murman ; 36 
 5969 ; Бона иностранная Ирак 1 динар ;  ;  ;  ;  ; 21 ; murman ; 38 
 5970 ; Бона иностранная Пакистан 1 рупия ;  ;  ;  ;  ; 13 ; murman ; 38 
 5971 ; Бона иностранная Коста Рика 10 колонес ;  ;  ;  ;  ; 9 ; mega ; 46 
 5972 ; Бона иностранная Эфиопия 1 быр ;  ;  ;  ;  ; 19 ; Brat123456 ; 68 
 5973 ; Бона иностранная Колумбия 100 песо ; 1990  1990 ;  ;  ;  ; 15 ; murman ; 41 
 5974 ; Бона иностранная Колумбия 200 песо ; 1989 ;  ;  ;  ; 11 ; murman ; 41 
 5975 ; Бона иностранная Колумбия 500 песо ; 1985 ;  ;  ;  ; 17 ; sib8 ; 36 
 5976 ; Бона иностранная Колумбия 1000 песо ; 1990 ;  ;  ;  ; 23 ; murman ; 105 
 5977 ; Бона иностранная Ямайка 1 доллар ; 1987 ;  ;  ;  ; 11 ; asus ; 51 
 5978 ; Бона иностранная Ямайка 2 доллара ; 1987 ;  ;  ;  ; 9 ; OPS ; 37 
 5979 ; Бона иностранная Ямайка 5 доллара ; 1989 ;  ;  ;  ; 10 ; OPS ; 37 
 5980 ; Бона иностранная Ямайка 10 долларов ; 1991 ;  ;  ;  ; 10 ; OPS ; 37 
 5981 ; Бона иностранная Ямайка 20 долларов ; 1991 ;  ;  ;  ; 11 ; asus ; 51 
 5982 ; Бона иностранная Перу 10 интис ; 1987 ;  ;  ;  ; 7 ; murman ; 31 
 5983 ; Бона иностранная Перу 50 интис ; 1986 ;  ;  ;  ; 5 ; murman ; 31 
 5984 ; Бона иностранная Перу 100 интис ; 1986 ;  ;  ;  ; 13 ; OPS ; 32 
 5985 ; Бона иностранная Перу 500 интис ; 1985 ;  ;  ;  ; 3 ; WRC ; 26 
 5986 ; Бона иностранная Перу 1000 солей ; 1981 ;  ;  ;  ; 7 ; Димон777 ; 51 
 5987 ; Бона иностранная Перу 1000 интис ; 1988 ;  ;  ;  ; 15 ; WRC ; 32 
 5988 ; Бона иностранная Перу 5000 солей ; 1981 ;  ;  ;  ; 13 ; murman ; 36 
