 101 ; Полушка ; 1795 ; КМ ; Cu ; VF+ ; 59 ; Продано в зале ; 5600 
 102 ; 1/4 копейки ; 1840 ; СМ ; Cu ; XF- ; 21 ; Продано в зале ; 3400 
 103 ; 5 копеек. Бирмингем. Ости колосьев ближе к звезде ; 1924 ; Гурт гладкий ; Cu ; XF+ ; 63 ; Продано в зале ; 28000 
 104 ; 2 копейки ; 1927 ;  ; Br ; VF ; 75 ; Продано в зале ; 110000 
 105 ; 3 копейки. Л/с шт 20 копеек (надпись разделена восьмилепестковой розеткой) ; 1934 ; Тувинская Народная Республика ;  ; F-VF ; 25 ; Продано в зале ; 165000 
 106 ; Георгиевский крест III степени № 237686 ;  ;  ; Ag ; XF ; 39 ; Продано в зале ; 17500 
 107 ; Георгиевский крест IV степени № 802884 ;  ;  ; Ag ; XF+ ; 21 ; Продано в зале ; 12000 
 108 ; Георгиевский крест IV степени № 233283 ;  ;  ; Б/м ; XF+ ; 21 ; Продано в зале ; 12000 
 109 ; Георгиевская медаль IV степени №702837. D-28мм ;  ;  ; Ag ; XF+ ; 17 ; ZOLTAN333 ; 5200 
 110 ; Медаль "В память 300-летия царствования Дома Романовых 1613-1913гг". D-28мм ;  ;  ; Br ; XF- ; 31 ; korovan67 ; 6895 
 111 ; Медаль Преуспевающему. D-42мм ;  ;  ; Ag ; XF ; 30 ; Продано в зале ; 14000 
 112 ; Знак Депутат ВС Казахской ССР 3-й созыв. №220 ; 1951 ;  ; Ag,эмаль ; AU ; 14 ; Lisik ; 20000 
 113 ; 1,5 рубля-10 злотых. В капсуле PCGS ; 1836 ; MW Рус.-Пол. ; Ag ; XF 45 ; 42 ; verunk1 ; 12272 
 114 ; Рубль. В капсуле NGC ; 1829 ; СПБ НГ ; Ag ; AU 55 ; 72 ; амбал ; 17686 
 115 ; Рубль. В капсуле NGC ; 1848 ; СПБ HI ; Ag ; AU Details ; 25 ; Продано в зале ; 12000 
 116 ; 25 копеек. В капсуле NGC ; 1830 ; СПБ НГ ; Ag ; Unc Details ; 13 ; Продано в зале ; 9500 
 117 ; 5 копеек. В капсуле PCGS ; 1773 ; ЕМ ; Cu ; MS 62 ; 44 ; verunk1 ; 6120 
 118 ; 5 копеек. В капсуле PCGS ; 1774 ; ЕМ ; Cu ; MS 62 ; 23 ; verunk1 ; 6120 
 119 ; 5 копеек. В капсуле PCGS ; 1795 ; КМ ; Cu ; MS 61 ; 24 ; verunk1 ; 9972 
 120 ; 2 копейки. В капсуле PCGS ; 1797 ; КМ ; Cu ; MS 63 ; 28 ; 4 плюс ; 6222 
 121 ; 2 копейки. В капсуле PCGS ; 1801 ; КМ ; Cu ; MS 63 ; 19 ; 4 плюс ; 6222 
 122 ; 2 копейки. В капсуле NGC ; 1852 ; ЕМ ; Cu ; AU 55 ; 38 ; 37577 ; 7171 
 123 ; Копейка. В капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ; AU 55 ; 33 ; PLD ; 6455 
 124 ; Копейка. В капсуле NGC ; 1853 ; ЕМ ; Cu ; AU55 ; 12 ; 37577 ; 2607 
 51 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 21 ; каламбурчик ; 6034 
 52 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 16 ; Продано в зале ; 5400 
 53 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 18 ; Продано в зале ; 1200 
 54 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; AU ; 58 ; int1965708 ; 16155 
 55 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU ; 33 ; Продано в зале ; 6500 
 56 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; AU ; 44 ; PLD ; 5800 
 57 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 54 ; Lisik ; 4842 
 58 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 113 ; Продано в зале ; 8000 
 59 ; 5 копеек ; 1863 ; СПБ АБ ; Ag ; XF ; 33 ; sdv75-2010 ; 9005 
 60 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 8200 
 61 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 44 ; sdv75-2010 ; 10060 
 62 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 33 ; Lisik ; 8222 
 63 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 71 ; Lisik ; 19907 
 64 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 34 ; Продано в зале ; 8400 
 65 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 29 ; Продано в зале ; 2800 
