 5653 ; Открытка Рождественская ; 1900 ;  ;  ;  ; 63 ; йцукен ; 461 
 5654 ; Открытка привет из Кенигсбергского зоопарка ; 1899 ;  ;  ;  ; 92 ; архыз ; 526 
 5655 ; Открытка Германия ; 1901 ;  ;  ;  ; 85 ; йцукен ; 571 
 5656 ; Открытка Пасхальная ; 1899 ;  ;  ;  ; 68 ; moneta1924 ; 333 
 5603 ; Конверт со спец. гашением "Антарктический переход. Экспедиция метелица" ;  ;  ;  ;  ; 21 ; Bolt ; 204 
 5604 ; Конверт со спец. гашением "Женская антарктическая научно-спортивная экспедиция Команды Метелица" Южный полюс 190289. 2 шт ;  ;  ;  ;  ; 35 ; Bolt ; 527 
 5605 ; Конверт со спец. гашением "Антарктида Мирный 181291" Михаил Сомов ;  ;  ;  ;  ; 7 ; Emv ; 45 
 5606 ; Конверт со спец. гашением "НИИ Арктики и Антарктики"  USA airmail. С ВЛОЖЕНИЕМ (открытка. Распечатан) ;  ;  ;  ;  ; 5 ; Emv ; 45 
 5607 ; Конверт со спец. гашением "10 лет станции Восток в Антарктиде" Ленинград - почтамт 16.12.67. 3 штуки ;  ;  ;  ;  ; 63 ; Sky2 ; 1019 
 5608 ; Конверт со спец. гашением " СССР Юж. Пол. Ст. Новолазоревская" ;  ;  ;  ;  ; 28 ; Bolt ; 316 
 5609 ; Конверт со спец. гашением "Станция в Антарктике Беллинсгаузен" ;  ;  ;  ;  ; 29 ; Bolt ; 340 
 5610 ; Конверт со спец. гашением "Антарктида Мирный" 12-я советская экспедиция ;  ;  ;  ;  ; 27 ; Bolt ; 340 
 5611 ; Конверт со спец. гашением "СССР Антарктида- Восток 161267" ;  ;  ;  ;  ; 38 ; Bolt ; 765 
 5612 ; Конверт со спец. гашением "Ледокольный флот СССР" ;  ;  ;  ;  ; 9 ; moneta1924 ; 22 
 5613 ; Конверт со спец. гашением "Юж. Пол. Ст. Молодёжная " 12 и 13 советская экспедиция. 2 штуки ;  ;  ;  ;  ; 40 ; Bolt ; 501 
 5614 ; Конверт со спец. гашением "150-летие открытия Антарктиды экспедицией Ф.Ф. Беллинсгаузена и М.П. Лазарева 280170 ;  ;  ;  ;  ; 14 ; sts ; 46 
 5615 ; Конверт со спец. гашением "15-я генеральная ассамблея МГГС" ;  ;  ;  ;  ; 12 ; sts ; 59 
 5616 ; Конверт со спец. гашением "ГУГМС СССР ААНИИ НИС "Профессор Визе" ;  ;  ;  ;  ; 13 ; bons ; 84 
 5617 ; Конверт со спец. гашением "14-я советская Антарктическая экспедиция" 3 штуки ;  ;  ;  ;  ; 37 ; Bolt ; 288 
 5618 ; Конверт со спец. гашением "1820- 150 лет Открытия Антарктиды - 1970 русской морской высокоширотной экспедиции" Запечатан БЕЗ ВЛОЖЕНИЯ ;  ;  ;  ;  ; 24 ; Bolt ; 453 
 5619 ; Конверт со спец. гашением "Антарктический переход Экспедиция Метелица" Юж. Полюс 080289 ;  ;  ;  ;  ; 19 ; von_Schwarz ; 160 
 5620 ; Конверт со спец. гашением "Советская Антарктическая экспедиция Беллинсгаузен 290180" Рейс д/э "Оленек" в составе 25-й Сов.Ант.экспедиции 1980 г. ;  ;  ;  ;  ; 20 ; von_Schwarz ; 113 
 5621 ; Конверт со спец. гашением "SCOTT BASE ANTARCTICA" 2 штуки ;  ;  ;  ;  ; 16 ; sts ; 117 
 5622 ; Пригласительный билет со спец. гашением "150 лет открытия Антарктиды" ;  ;  ;  ;  ; 9 ; Sky2 ; 114 
 5623 ; Конверт со спец. гашением "Гидрометеорологическая служба 50 лет 1921-1971" ;  ;  ;  ;  ; 15 ; sts ; 68 
 5624 ; Конверт со спец. гашением "Мирный 25 лет советской Антарктической обсерватории" ;  ;  ;  ;  ; 19 ; sts ; 159 
 5625 ; Конверт со спец. гашением "191104 г. Ленинград д-104 наб. Фонтанки. АиАНИИ" ;  ;  ;  ;  ; 11 ; sts ; 60 
 5626 ; Конверт со спец. гашением "Антарктида молодёжная" Н. Лазаревская ;  ;  ;  ;  ; 64 ; doc2 ; 1226 
 5627 ; Конверт со спец. гашением "СССР Н.Лазаревская" 150 лет открытия Антарктиды. Запечатан. без вложения ;  ;  ;  ;  ; 40 ; Bolt ; 558 
 5628 ; Конверт со спец. гашением "14 САЭ" Антарктида восток ;  ;  ;  ;  ; 34 ; doc2 ; 1226 
 5629 ; Конверт со спец. гашением "150 лет открытия Антарктиды русской высокоширотной экспедицией" ;  ;  ;  ;  ; 12 ; Ибранец ; 74 
 5630 ; Конверт со спец. гашением "10 лет исследований Антарктиды" 11-я сов. Ант. Экспедиция ЗАПЕЧАТАН (без вложения) ;  ;  ;  ;  ; 49 ; Bolt ; 765 
 5631 ; Конверт со спец. гашением "10 лет станции Восток в Антарктиде 16.12.1967" ;  ;  ;  ;  ; 66 ; Bolt ; 290 
 5632 ; Открытка со спец. гашением "70 лет со дня рождения Э.Т. Кренкеля" ;  ;  ;  ;  ; 11 ; sts ; 80 
 5633 ; Открытка со спец. гашением "50 лет планомерного освоения северного морского пути" 2 штуки ;  ;  ;  ;  ; 7 ; ulf ; 84 
 5634 ; Открытка со спец. гашением "30 лет со дня окончания работ по спасению Челюскинцев" ;  ;  ;  ;  ; 10 ; Ибранец ; 57 
 5635 ; Конверт со спец. гашением BASE VCOM Marambio 1969-1989 ;  ;  ;  ;  ; 6 ; Emv ; 53 
 5636 ; Конверт со спец. гашением ЗАПЕЧАТАН "ARGENTINA BASE" без вложения ;  ;  ;  ;  ; 13 ; Emv ; 57 
 5637 ; Конверт со спец. гашением "British antarctic survey rothera"Запечатан. Без вложения ;  ;  ;  ;  ; 11 ; Emv ; 84 
 5638 ; Конверт со спец. гашением "JOINT KATABATIC WIND PROJECT" 1983-1984 ;  ;  ;  ;  ; 8 ; sts ; 102 
 5639 ; Конверт со спец. гашением "Destacamento" 25.02.1979 ;  ;  ;  ;  ; 10 ; Emv ; 79 
